#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-5536	acetate formation from acetyl-CoA III (succinate)	
PWY-5535	acetate formation from acetyl-CoA II	
PWY0-1312	acetate formation from acetyl-CoA I	
PWY-6960	L-ascorbate degradation III	
PWY-6959	L-ascorbate degradation V	
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	ascorbic acid degradation I
PWY-6704	L-ascorbate degradation IV	tartaric acid biosynthesis	tartrate biosynthesis
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	glyoxylate degradation
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	glycolate utilization I	glycolate degradation I
PWY-6649	glycolate and glyoxylate degradation III	3-hydroxyaspartate pathway	&beta;-hydroxyaspartate pathway
PWY-7686	L-malate degradation II	(<i>S</i>)--malate degradation I
PWY-7685	L-malate degradation I	malolactic fermentation (misleading)	(<i>S</i>)--malate degradation I
PWY-6060	malonate degradation II (biotin-dependent)	
PWY-5794	malonate degradation I (biotin-independent)	
PWY-6695	oxalate degradation II	
PWY-6698	oxalate degradation V	
PWY-6694	oxalate degradation I	
PWY-6697	oxalate degradation IV	
PWY-6696	oxalate degradation III	
PROPIONMET-PWY	propanoyl CoA degradation I	propionyl CoA degradation I
PWY-7574	propanoyl-CoA degradation II	propionyl-CoA degradation II
PWY0-42	2-methylcitrate cycle I	
PWY-5747	2-methylcitrate cycle II	
PWY0-43	conversion of succinate to propanoate	conversion of succinate to propionate
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	2-dehydro-D-gluconate pyruvate catabolism	2-dehydro-D-gluconate pyruvate degradation	2-dehydro-D-gluconate degradation
GALACTCAT-PWY	D-galactonate degradation	D-galactonate catabolism
IDNCAT-PWY	L-idonate degradation	L-idonic acid catabolism	L-idonate catabolism
KETOGLUCONMET-PWY	ketogluconate metabolism	
PWY-7242	D-fructuronate degradation	
PWY-7516	L-lyxonate degradation	
PWY-7566	L-gulonate degradation	
PWY0-1306	L-galactonate degradation	
PWY-6497	D-galactarate degradation II	
GALACTARDEG-PWY	D-galactarate degradation I	D-galactarate catabolism
GALACTUROCAT-PWY	D-galacturonate degradation I	D-galacturonate catabolism	D-galacturonate degradation
PWY-6491	D-galacturonate degradation III	
PWY-6486	D-galacturonate degradation II	&alpha;-ketoglutarate pathway
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I	<i>D</i>-glucarate catabolism
PWY-6499	D-glucarate degradation II	
PWY-5525	D-glucuronate degradation I	pentose pathway	glucuronic acid oxidation pathway	glucuronate/xylulose pathway	glucuronate degradation
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
PWY-6501	D-glucuronate degradation II	
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation	
PCEDEG-PWY	tetrachloroethene degradation	PCE degradation	perchloroethene degradation
PCPDEG-PWY	pentachlorophenol degradation	
PWY-5822	trichloroethylene degradation	
PWY-7428	2-chloroacrylate degradation II	
PWY-7425	2-chloroacrylate degradation I	
PWY-5370	carbon tetrachloride degradation I	
PWY-5372	carbon tetrachloride degradation II	
PWY-7559	glutathione degradation (DUG pathway - yeast)	
PWY-6370	ascorbate recycling (cytosolic)	vitamin C recycling (cytosolic)
PWY-5874	heme degradation	
PWY-6927	chlorophyll <i>a</i> degradation II	
PWY-5098	chlorophyll <i>a</i> degradation I	
PWY-7164	chlorophyll <i>a</i> degradation III	
PWY-5534	propylene degradation	epoxypropane degradation
PWY-6028	acetoin degradation	
PWY-6813	glucuronoarabinoxylan degradation	
PWY-6815	porphyran degradation	
PWY-6816	agarose degradation	
PWY-6827	gellan degradation	
PWY-6986	alginate degradation	
PWY-7456	mannan degradation	
PWY-7647	ulvan degradation	
PWY-862	fructan degradation	fructan mobilization
PWY-6821	&kappa;-carrageenan degradation	
PWY-6817	&lambda;-carrageenan degradation	
PWY-6822	&iota;-carrageenan degradation	
PWY-6805	cellulose degradation I (cellulosome)	
PWY-6788	cellulose degradation II (fungi)	
PWY-6784	cellulose and hemicellulose degradation (cellulolosome)	
PWY-6906	chitin derivatives degradation	
PWY-6902	chitin degradation II	
PWY-6855	chitin degradation I (archaea)	chitin degradation (archaea)
PWY-6576	dermatan sulfate degradation (metazoa)	
PWY-6791	xyloglucan degradation I (endoglucanase)	
PWY-7586	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation	
PWY-6573	chondroitin sulfate degradation (metazoa)	
PWY-6790	L-arabinan degradation	
PWY-7243	pectin degradation I	
PWY-6717	(1,4)-&beta;-xylan degradation	
PWY-842	starch degradation I	starch mobilization from cereal endosperm	starch degradation from cereal endosperm
PWY-7662	glycogen degradation III (via anhydrofructose)	the anhydrofructose pathway
PWY-5941	glycogen degradation II	glycogenolysis II
PWY-7645	hyaluronan degradation	
PWY-6572	chondroitin sulfate degradation I (bacterial)	
PWY-7644	heparin degradation	
PWY-7651	heparan sulfate degradation	
PWY-7646	dermatan sulfate degradation I (bacterial)	
PWY-7246	pectin degradation II	
PWY-7248	pectin degradation III	
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)	
PWY-6769	rhamnogalacturonan type I degradation I (fungi)	
PWY-6737	starch degradation V	
PWY-6735	starch degradation IV	
PWY-6731	starch degradation III	
PWY-6789	(1,3)-&beta;-D-xylan degradation	
PWY-6812	xyloglucan degradation III (cellobiohydrolase)	
PWY-6807	xyloglucan degradation II (exoglucanase)	
FUCCAT-PWY	fucose degradation	fucose catabolism
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
LYXMET-PWY	L-lyxose degradation	L-lyxose metabolism
MALTOSECAT-PWY	maltose degradation	maltose catabolism
MANNCAT-PWY	D-mannose degradation	mannose degradation
P302-PWY	L-sorbose degradation	L-sorbose metabolism
PWY-1081	homogalacturonan degradation	pectin degradation
PWY-3861	mannitol degradation II	
PWY-5257	superpathway of pentose and pentitol degradation	
PWY-6527	stachyose degradation	
PWY-6778	laminaribiose degradation	
PWY-6901	superpathway of glucose and xylose degradation	
PWY-7077	<i>N</i>-acetyl-D-galactosamine degradation	
PWY-7130	L-glucose degradation	
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	
PWY-7395	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	
PWY-7459	kojibiose degradation	
PWY-7562	3,6-anhydro-&alpha;-L-galactopyranose degradation	
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	
PWY0-1301	melibiose degradation	
PWY0-1309	chitobiose degradation	
PWY0-1314	fructose degradation	
PWY0-44	D-allose degradation	D-allose catabolism
PWY4FS-12	VTC2 cycle	GDP-D-mannose biosynthesis
PWY4FS-13	extended VTC2 cycle	
RIBOKIN-PWY	ribose degradation	ribose catabolism
P124-PWY	Bifidobacterium shunt	Bifidum fermentation	Bifidum pathway	fructose-6-phosphate pathway	Bifidum shunt	glucose fermentation to lactate (Bifidobacteria)
DARABCATK12-PWY	D-arabinose degradation I	D-arabinose catabolism
DARABCAT-PWY	D-arabinose degradation II	D-arabinose catabolism
PWY-5519	D-arabinose degradation III	
PWY66-422	D-galactose degradation V (Leloir pathway)	Leloir pathway
PWY-7568	L-galactose degradation	
LACTOSECAT-PWY	lactose and galactose degradation I	lactose degradation 1	lactose 6-P degradation I	lactose 6-phosphate degradation	lactose 6'-phosphate degradation
PWY-6693	D-galactose degradation IV	
GALDEG-PWY	D-galactose degradation II	De Ley-Doudoroff pathway
PWY-6317	D-galactose degradation I (Leloir pathway)	Leloir pathway
ARABCAT-PWY	L-arabinose degradation I	L-arabinose catabolism
PWY-7295	L-arabinose degradation IV	
PWY-5517	L-arabinose degradation III	
PWY-5515	L-arabinose degradation II	
PWY-6714	L-rhamnose degradation III	diketo-hydrolase pathway
PWY-6713	L-rhamnose degradation II	aldolase pathway
RHAMCAT-PWY	L-rhamnose degradation I	rhamnose catabolism	rhamnose degradation
LACTOSEUTIL-PWY	lactose degradation II	lactose degradation 2
BGALACT-PWY	lactose degradation III	lactose degradation 3
PWY-7345	superpathway of anaerobic sucrose degradation	sucrose degradation to ethanol and lactate (anaerobic)
PWY66-373	sucrose degradation V (sucrose &alpha;-glucosidase)	
PWY-3801	sucrose degradation II (sucrose synthase)	
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)	
PWY-621	sucrose degradation III (sucrose invertase)	sucrose mobilization
SUCROSEUTIL2-PWY	sucrose degradation VII (sucrose 3-dehydrogenase)	
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	
PWY0-1466	trehalose degradation VI (periplasmic)	
PWY-2721	trehalose degradation III	
PWY0-1182	trehalose degradation II (trehalase)	
PWY-2723	trehalose degradation V	
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	
PWY-2722	trehalose degradation IV	
PWY-7294	xylose degradation IV	
PWY-6760	xylose degradation III	D-xylose degradation III	&alpha;-D-xylose degradation III
PWY-5516	xylose degradation II	
XYLCAT-PWY	xylose degradation I	xylose catabolism
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	non-phosphorylated glucose catabolism	glucose degradation	non-phosphorylated glucose degradation
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	ED pathway
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	
LIPAS-PWY	triacylglycerol degradation	triacylglyceride degradation	triacylglycerol hydrolysis	lipolysis
LIPASYN-PWY	phospholipases	phospholipase pathway
PWY-6111	mitochondrial L-carnitine shuttle	
PWY-6368	3-phosphoinositide degradation	phosphatidyl-inositol 3,4,5-trisphosphate degradation
PWY-6483	ceramide degradation	
PWY-7119	sphingolipid recycling and degradation (yeast)	
PWY-7366	phosphatidylglycerol degradation	
PWY-7367	phosphatidylcholine resynthesis via glycerophosphocholine	
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	ceramide degradation
PWY6666-1	anandamide degradation	
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	sophorosyloxydocosanoate deacetylation	
PWY-5451	acetone degradation I (to methylglyoxal)	
PWY-7466	acetone degradation III (to propane-1,2-diol)	
PWY-5533	acetone degradation II (to acetoacetate)	isopropanol degradation
PWY0-1337	oleate &beta;-oxidation	
PWY-2724	alkane oxidation	fatty acid &omega;-oxidation
PWY66-391	fatty acid &beta;-oxidation VI (peroxisome)	
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation	fatty acid &beta;-oxidation IV (unsaturated, even number)
PWY-7291	oleate &beta;-oxidation (isomerase-dependent, yeast)	
PWY-7337	10-<i>cis</i>-heptadecenoyl-CoA degradation (yeast)	
PWY-7340	9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)	
PWY-2501	fatty acid &alpha;-oxidation I	fatty acid &alpha;-oxidation
PWY66-388	fatty acid &alpha;-oxidation III	
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	
PWY-7288	fatty acid &beta;-oxidation (peroxisome, yeast)	
PWY-7307	oleate &beta;-oxidation (reductase-dependent, yeast)	
PWY-7339	10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)	
FAO-PWY	fatty acid &beta;-oxidation I	
PWY66-387	fatty acid &alpha;-oxidation II	
PWY-5136	fatty acid &beta;-oxidation II (peroxisome)	fatty acid &beta;-oxidation II (plants)
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	
PWY-7292	oleate &beta;-oxidation (thioesterase-dependent, yeast)	
PWY-7338	10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	
PWY-6313	serotonin degradation	
PWY-6342	noradrenaline and adrenaline degradation	norepinephrine and epinephrine degradation
PWY-6688	thyronamine and iodothyronamine metabolism	
PWY-6398	melatonin degradation I	
PWY-6402	superpathway of melatonin degradation	
PWY-6400	melatonin degradation III	
PWY-6399	melatonin degradation II	
PWY-1981	indole-3-acetate degradation III	indole-3-acetic acid degradation III	IAA catabolism III	IAA turnover III	IAA degradation III
PWY-5784	indole-3-acetate conjugate biosynthesis II	indole-3-acetyl-N-amino acid-glucose synthesis	IAA conjugate biosynthesis II
PWY-5811	indole-3-acetate degradation VII	IAA degradation VII
PWY-1962	indole-3-acetate degradation II	indole-3-acetic acid degradation II	IAA catabolism II	IAA turnover II	IAA oxidation II	IAA degradation II
PWY-5797	indole-3-acetate degradation VI	IAA degradation VI
PWY-1961	indole-3-acetate degradation I	IAA degradation I	IAA oxidation I	IAA turnover I	IAA catabolism I
PWY-2021	indole-3-acetate degradation IV	indole-3-acetic acid degradation IV	IAA catabolism IV	IAA turnover IV	IAA degradation IV
PWY-5788	indole-3-acetate degradation V	6-OH-IAA-amino acid conjugate biosynthesis	6-hydroxy-indole-3-acetyl amino acid biosynthesis	IAA degradation V
PWY-2841	cytokinins degradation	Cytokinins oxidation
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)	
PWY-6260	thyroid hormone metabolism I (via deiodination)	
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II	methylthioadenosine degradation II
PWY-6754	<i>S</i>-methyl-5'-thioadenosine degradation I	
PWY-6753	<i>S</i>-methyl-5'-thioadenosine degradation III	methylthioadenosine degradation III
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV	methylthioadenosine degradation IV
P164-PWY	purine nucleobases degradation I (anaerobic)	purine fermentation
PWY-5497	purine nucleobases degradation II (anaerobic)	purine fermentation
PWY-5044	purine nucleotides degradation I (plants)	purine nucleotide catabolism (aerobic)
PWY-6019	pseudouridine degradation	
PWY-6353	purine nucleotides degradation II (aerobic)	purine nucleotides catabolism
PWY-7179	purine deoxyribonucleosides degradation I	
PWY-7179-1	purine deoxyribonucleosides degradation II	
PWY0-1296	purine ribonucleosides degradation	
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
PWY-6617	adenosine nucleotides degradation III	adenosine ribonucleotide/ribonucleoside metabolism
PWY-6596	adenosine nucleotides degradation I	purine nucleotide catabolism
PWY-5532	adenosine nucleotides degradation IV	AMP recycling	adenosine 5'-monophosphate degradation
PWY-6608	guanosine nucleotides degradation III	
PWY-6607	guanosine nucleotides degradation I	
PWY-6606	guanosine nucleotides degradation II	
PWY-6595	superpathway of guanosine nucleotides degradation (plants)	
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY-7209	superpathway of pyrimidine ribonucleosides degradation	
PWY-6430	thymine degradation	uracil degradation (reductive)
PWY0-1471	uracil degradation III	
PWY-6426	uracil degradation II (oxidative)	
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
PWY-7181	pyrimidine deoxyribonucleosides degradation	
PWY0-1295	pyrimidine ribonucleosides degradation	
PWY-7177	UTP and CTP dephosphorylation II	pyrimidine nucleotides dephosphorylation
PWY-7185	UTP and CTP dephosphorylation I	pyrimidine nucleotides dephosphorylation
PWY-5934	iron reduction and absorption	Fe(III)-reduction	Fe(II) transport	Fe(III)-chelation and Fe(II) transport
PWY-6692	Fe(II) oxidation	iron oxidation
PWY-6592	manganese oxidation II	
PWY-6591	manganese oxidation I	
CYANCAT-PWY	cyanate degradation	cyanate catabolism
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
PWY-7387	hypotaurine degradation	
PWY-7683	nitrite reduction (hemoglobin)	
PWY-6963	ammonia assimilation cycle I	GS/GOGAT pathway
PWY-3282	superpathway of ammonia assimilation (plants)	GS/GOGAT pathway
PWY-6964	ammonia assimilation cycle II	GS/GOGAT pathway
AMMASSIM-PWY	ammonia assimilation cycle III	ammonia assimilation III	GS/GOGAT pathway
P303-PWY	ammonia oxidation II (anaerobic)	anammox	ammonium oxidation (anaerobic)
PWY-7084	nitrifier denitrification	nitrous oxide biosynthesis	aerobic denitrification
AMMOXID-PWY	ammonia oxidation I (aerobic)	nitrification	ammonium oxidation
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)	
PWY-2242	ammonia oxidation III	
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	denitrification	nitrate respiration
PWY-6748	nitrate reduction VII (denitrification)	denitrification	nitrate respiration
PWY-381	nitrate reduction II (assimilatory)	nitrate assimilation
PWY-5675	nitrate reduction V (assimilatory)	nitrate assimilation
PWY490-3	nitrate reduction VI (assimilatory)	nitrate assimilation
PWY0-1352	nitrate reduction VIII (dissimilatory)	NADH to nitrate electron transfer
PWY0-1581	nitrate reduction IX (dissimilatory)	glycerol-3-phosphate to nitrate electron transfer
PWY0-1321	nitrate reduction III (dissimilatory)	formate to nitrate electron transfer
PWY0-1584	nitrate reduction X (periplasmic, dissimilatory)	periplasmic glycerol-3-phosphate to nitrate electron transfer
PWY-5674	nitrate reduction IV (dissimilatory)	dissimilatroy nitrate reduction	nitrate respiration	repiratory ammonification
N2FIX-PWY	nitrogen fixation I (ferredoxin)	hydrogen production VII
PWY-7576	nitrogen fixation II (flavodoxin)	
PWY-1541	superpathway of taurine degradation	
PWY-1264	taurine degradation II	
TAURINEDEG-PWY	taurine degradation III	
PWY-1263	taurine degradation I	
PWY0-981	taurine degradation IV	
P483-PWY	phosphonoacetate degradation	phosphonoacetate metabolism
PWY-5491	diethylphosphate degradation	
PWY-6348	phosphate acquisition	
PWY-7447	2-aminoethylphosphonate degradation III	
PWY-6832	2-aminoethylphosphonate degradation II	
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I	phosphonotase pathway
PWY0-1533	methylphosphonate degradation I	carbon-phosphorus lyase pathway
PWY-7399	methylphosphonate degradation II	
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY0-661	PRPP biosynthesis II	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY-6932	selenate reduction	selenium metabolism	selenium assimilation
PWY-6931	seleno-amino acid detoxification and volatilization I	Se volatilization I	Se-compound volatilization I	Se-amino acid detoxification and volatilization I	dimethyl selenide biosynthesis |
PWY-6935	seleno-amino acid detoxification and volatilization II	Se volatilization II	Se-compound volatilization II	selenium compound volatilization II	Se-amino acid detoxification and volatilization II	dimethyl selenide biosynthesis II	seleno-amino acid detoxification and volatilization via DMSeP
PWY-6933	seleno-amino acid detoxification and volatilization III	Se volatilization III	Se-amino acid detoxification and volatilization III	selenium volatilization III	seleno-compound volatilization III	dimethyldiselenide biosynthesis	DMeDSe biosynthesis	DMDSe biosynthesis
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	alkanesulfonate monooxygenase two-component system	alkanesulfonate monooxygenase
PWY-2601	isethionate degradation	
PWY-5258	methanogenesis from dimethylsulfide	
PWY-5260	methanogenesis from methylthiopropanoate	methanogenesis from methylthiopropionate
PWY-6043	ethanedisulfonate degradation	
PWY-6044	methanesulfonate degradation	
PWY-6050	dimethyl sulfoxide degradation	DMSO degradation
PWY-6058	dimethyl sulfone degradation	
PWY-6072	superpathway of dimethylsulfone degradation	
PWY-6321	homotaurine degradation	
PWY-6327	tetrathionate oxidation	
PWY-6593	sulfoacetate degradation	
PWY-6634	2,3-dihydroxypropane-1-sulfonate degradation	DHPS degradation
PWY-6642	(<i>R</i>)-cysteate degradation	
PWY-6736	sulfur volatiles biosynthesis	biosynthesis of sulphur volatiles
PWY-7462	3,3'-dithiodipropanoate degradation	3,3'-dithiodipropionate degradation
PWY-7465	3,3'-thiodipropanoate degradation	3,3'-thiodipropionate degradation
PWY-6057	dimethyl sulfide degradation III (oxidation)	DMS degradation	dimethylsulfide degradation III (oxidation)
PWY-6047	dimethyl sulfide degradation I	DMS degradation	dimethylsulfide degradation I
PWY-6059	dimethyl sulfide degradation II (oxidation)	DMS degradation	dimethylsulfide degradation II (oxidation)
PWY-6052	dimethylsulfoniopropanoate degradation III (demethylation)	DMSP degradation	dimethylsulfoniopropionate degradation III (demethylation)
PWY-6049	superpathway of dimethylsulfoniopropanoate degradation	DMSP degradation	superpathway of dimethylsulfoniopropionate degradation
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)	DMSP degradation	dimethylsulfoniopropionate degradation I (cleavage)
PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage)	DMSP degradation	dimethylsulfoniopropionate degradation II (cleavage)
PWY0-1534	hydrogen sulfide biosynthesis I	
PWY66-426	hydrogen sulfide biosynthesis II (mammalian)	
PWY-6048	methylthiopropanoate degradation I (cleavage)	MTPA degradation	methylthiopropionate degradation I (cleavage)
PWY-6045	methylthiopropanonate degradation II (demethylation)	MTPA degradation	methylthiopropionate degradation II (demethylation)
SULFMETII-PWY	sulfate reduction II (assimilatory)	sulfur metabolism	sulfur assimilation
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	
PWY-6683	sulfate reduction III (assimilatory)	sulfur metabolism	sulfur assimilation
DISSULFRED-PWY	sulfate reduction IV (dissimilatory)	sulfate respiration
P224-PWY	sulfate reduction V (dissimilatory)	bisulfite reduction
PWY-5274	sulfide oxidation II (sulfide dehydrogenase)	
PWY-5335	superpathway of sulfide oxidation (<i>Starkeya novella</i>)	
PWY-5294	superpathway of sulfide oxidation (<i>Acidithiobacillus ferrooxidans</i>)	
PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)	
PWY-5285	sulfide oxidation III (persulfide dioxygenase)	
P222-PWY	sulfide oxidation I (sulfide-quinone reductase)	sulfide-quinone oxidoreductase
PWY-5279	sulfite oxidation II	
PWY-5326	sulfite oxidation IV	
PWY-5278	sulfite oxidation III	
PWY-5306	superpathway of thiosulfate metabolism (<i>Desulfovibrio sulfodismutans</i>)	
PWY-5308	superpathway of sulfur metabolism (<i>Desulfocapsa sulfoexigens</i>)	
PWY-7457	sulfite oxidation V (SoeABC)	
PWY-5276	sulfite oxidation I (sulfite oxidoreductase)	
PWY-5982	sulfoacetaldehyde degradation II	
PWY-1281	sulfoacetaldehyde degradation I	
PWY-6718	sulfoacetaldehyde degradation III	
PWY-6637	sulfolactate degradation II	3-sulfolactate degradation II
PWY-6616	sulfolactate degradation I	3-sulfolactate degradation I
PWY-6641	superpathway of sulfolactate degradation	bifurcated pathway of 3-sulfolactate degradation
PWY-6638	sulfolactate degradation III	
PWY-5302	sulfur disproportionation II (aerobic)	
P203-PWY	sulfur disproportionation I (anaerobic)	
PWY-6675	sulfur oxidation IV (intracellular sulfur)	
PWY-5304	superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)	
FESULFOX-PWY	sulfur oxidation II (Fe<sup>+3</sup>-dependent)	
SULFUROX-PWY	sulfur oxidation I (aerobic)	
PWY-5364	sulfur reduction II (via polysulfide)	polysulfide respiration	polysulphide respiration
PWY-5332	sulfur reduction I	sulfur respiration	sulphur respiration
PWY-5358	tetrathionate reduction I (to thiosulfate)	
PWY-5360	superpathway of tetrathionate reduction (<i>Salmonella typhimurium</i>)	
PWY-5359	tetrathionate reductiuon II (to trithionate)	
PWY-5350	thiosulfate disproportionation III (rhodanese)	
PWY-5277	thiosulfate disproportionation I (thiol-dependent)	
PWY-5352	thiosulfate disproportionation II (non thiol-dependent)	
PWY-5296	thiosulfate oxidation III (multienzyme complex)	Sox enzyme system	Paracoccus sulfur oxidation pathway	PSO pathway
PWY-6677	thiosulfate oxidation IV (multienzyme complex)	Sox enzyme system
THIOSULFOX-PWY	thiosulfate oxidation I (to tetrathionate)	S<sub>4</sub>I pathway
PWY-5303	thiosulfate oxidation II (via tetrathionate)	
P161-PWY	acetylene degradation	acetylene fermentation
PWY-4061	glutathione-mediated detoxification I	
PWY-7112	4-hydroxy-2-nonenal detoxification	
7ALPHADEHYDROX-PWY	cholate degradation (bacteria, anaerobic)	7&alpha;-dehydroxylation pathway	bile acid degradation	cholate degradation	bile acid 7&alpha;-dehydroxylation pathway
P201-PWY	nitroglycerin degradation	nitroglycerin denitration	glycerol trinitrate degradation
P221-PWY	octane oxidation	
P401-PWY	cyanide degradation	
P481-PWY	adamantanone degradation	adamantanone catabolism	adamantanone oxidation
P482-PWY	arsonoacetate degradation	
P621-PWY	nylon-6 oligomer degradation	caprolactam degradation
PWY-5355	nitroethane degradation	
PWY-6377	&alpha;-tocopherol degradation	vitamin E degradation
PWY-6518	glycocholate metabolism (bacteria)	bile acid metabolism (bacteria)	bile acid conjugate metabolism (bacteria)	bile salt metabolism (bacteria)
PWY-723	alkylnitronates degradation	2-nitropropane degradation
PWY-7582	mercaptosuccinate degradation	
PWY0-1569	autoinducer AI-2 degradation	(<i>S</i>)-4,5-dihydroxypentane-2,3-dione degradation	autoinducer 2 degradation	AI-2 degradation
PWY66-241	bupropion degradation	
PWY-7308	acrylonitrile degradation I	
P344-PWY	superpathway of acrylonitrile degradation	
PWY-7309	acrylonitrile degradation II	
PWY-5336	carbon disulfide oxidation II (aerobic)	carbon disulphide oxidation
PWY-1164	carbon disulfide oxidation I (anaerobic)	carbon disulphide oxidation
PWY-7128	nicotine degradation III (VPP pathway)	
PWY-6993	nicotine degradation II (pyrrolidine pathway)	
PWY66-221	nicotine degradation V	
P181-PWY	nicotine degradation I (pyridine pathway)	
PWY66-201	nicotine degradation IV	
PWY-743	thiocyanate degradation II	thiocyanate metabolism II	thiocyanate utilization II	carbonyl sulfide pathway
P581-PWY	thiocyanate degradation I	thiocyanate metabolism	thiocyanate utilization	cyanate pathway
PWY-6341	guaiacylglycerol-&beta;-guaiacyl ether degradation	GGE degradation
PWY0-1546	muropeptide degradation	
PWY-6423	hemoglobin degradation	
PWY-6995	5-hydroxymethylfurfural degradation	
PWY-7114	tea aroma glycosidic precursor bioactivation	
PWY0-1527	curcumin degradation	curcumin metabolism
PWY-7652	echinocandin B degradation	
PWY-6848	rutin degradation	rutin catabolic pathway
PWY-7134	rutin degradation (plants)	
PWY-7133	quercetin glucoside degradation (<i>Allium</i>)	
PWY-6996	daidzin and daidzein degradation	(<i>S</i>)-equol biosynthesis
PWY-7445	luteolin triglucuronide degradation	
NOPALINEDEG-PWY	nopaline degradation	
OCTOPINEDEG-PWY	octopine degradation	
PWY-31	canavanine degradation	
PWY-5461	betanidin degradation	
PWY-6999	theophylline degradation	
PWY-6552	caffeine degradation I (main, plants)	
PWY-6633	caffeine degradation V (bacteria, via trimethylurate)	caffeine C-8 oxidation pathway	caffeine degradation V (bacteria, to trimethylurate)
PWY-6538	caffeine degradation III (bacteria, via demethylation)	caffeine degradation (bacteria)
PWY-6632	caffeine degradation IV (bacteria, via demethylation and oxidation)	
PWY-6553	caffeine degradation II	
PWY-6002	lotaustralin degradation	
PWY-7091	linustatin bioactivation	
PWY-5976	dhurrin degradation	
PWY-7089	taxiphyllin bioactivation	
PWY-7093	vicianin bioactivation	
PWY-3121	linamarin degradation	linamarin cyanogenesis
PWY-6011	amygdalin and prunasin degradation	
PWY-7092	neolinustatin bioactivation	
PWY-6684	glucosinolate breakdown (via thiocyanate-forming protein)	
PWY-7113	furcatin degradation	furcatin hydrolysis
PWY-6667	resveratrol degradation	stilbene degradation in fungi
PWY-7214	baicalein degradation (hydrogen peroxide detoxification)	
